Date,Financials,Consumer Staples,Materials,Energy,Industrials,Health Care,Communication Services,Utilities,Consumer Discretionary,Information Technology,Real Estate
8/31/14,0.209340251,0.126796797,0.086646948,0.081871287,0.113923775,0.117319978,0.069734616,0.050264279,0.100715293,0.030210948,0.013175827
9/30/14,0.212087657,0.125982145,0.082591856,0.080728607,0.113329819,0.123938381,0.069722548,0.05131483,0.097304671,0.030194885,0.012804602
10/31/14,0.20797613,0.128936399,0.082692013,0.075747681,0.115091973,0.123045166,0.071393296,0.049599162,0.102208544,0.029765274,0.013544361
11/30/14,0.21206473,0.131344389,0.080605556,0.067105147,0.114016333,0.123636662,0.073063662,0.048452278,0.105855998,0.030260319,0.013594926
12/31/14,0.209267412,0.131250642,0.079155543,0.066315048,0.116118164,0.121719737,0.073552104,0.047786625,0.107919558,0.03224303,0.014672139
1/31/15,0.200865687,0.136937548,0.077865819,0.063142249,0.115765618,0.124402663,0.077149535,0.046516314,0.110290299,0.031430211,0.015634057
2/28/15,0.203566086,0.133431712,0.08087902,0.064239934,0.116750009,0.121916891,0.076712741,0.044116155,0.11125899,0.031780095,0.015348366
3/31/15,0.207261077,0.130739177,0.078023651,0.060771801,0.117561408,0.125210254,0.076089212,0.042131603,0.114788123,0.032167694,0.015255999
4/30/15,0.207044086,0.130078474,0.078483294,0.06570328,0.116266807,0.123822502,0.076964885,0.042693956,0.112399633,0.031620263,0.014922823
5/31/15,0.207194885,0.131143278,0.077912292,0.062333685,0.116492036,0.124416081,0.076941067,0.043133022,0.11297074,0.032681435,0.01478148
6/30/15,0.207047331,0.130380511,0.07670789,0.061330472,0.117251642,0.124437073,0.07853885,0.041915335,0.115369626,0.031927591,0.01509368
7/31/15,0.208108534,0.132786474,0.074868928,0.059268671,0.117404476,0.129205128,0.076181074,0.042034802,0.113176937,0.03129712,0.015667858
8/31/15,0.206066372,0.13209382,0.073219768,0.05773104,0.119351894,0.129654213,0.079304192,0.042249011,0.113020228,0.030914639,0.016394824
9/30/15,0.20174179,0.140159023,0.069167904,0.056069988,0.119580971,0.130334842,0.079095376,0.042496441,0.11214663,0.032167356,0.017039678
10/31/15,0.199196323,0.142157418,0.06984069,0.058386028,0.119464518,0.128178988,0.075655114,0.04254962,0.114330037,0.033206806,0.017034459
11/30/15,0.199136769,0.14299395,0.068043031,0.058232886,0.122572082,0.127611274,0.075843211,0.041268253,0.113487361,0.034608238,0.016202945
12/31/15,0.199642294,0.142703673,0.066594174,0.05449812,0.121741128,0.131028892,0.07525435,0.042064047,0.11444357,0.03582167,0.016208083
1/31/16,0.189459409,0.144540913,0.063962987,0.053372504,0.124658962,0.132208603,0.079629263,0.043526928,0.114485931,0.037389967,0.016764532
2/29/16,0.183531508,0.141831804,0.068569858,0.057704011,0.126599743,0.129126696,0.07850209,0.041495503,0.11968738,0.036504535,0.016446871
3/31/16,0.180495107,0.142548934,0.071281864,0.057411931,0.129027184,0.125053806,0.078006569,0.041936691,0.11917438,0.037596301,0.017467235
4/30/16,0.183301318,0.139642346,0.075882432,0.061355914,0.127148535,0.126430867,0.074177029,0.043418678,0.115792175,0.035672514,0.017178191
5/31/16,0.183422339,0.142890028,0.072270192,0.058475289,0.127877165,0.128275986,0.074813089,0.042602662,0.115140698,0.036888976,0.017343577
6/30/16,0.164172977,0.149413538,0.075298411,0.066625304,0.126092129,0.13801653,0.071346379,0.044827288,0.10990302,0.036718983,0.017585441
7/31/16,0.164425637,0.14574471,0.077516358,0.061645782,0.128129901,0.135917706,0.06950293,0.044121141,0.115327611,0.039650157,0.018018068
8/31/16,0.175275777,0.143959545,0.078813016,0.061170132,0.13048898,0.128796704,0.069213192,0.042344665,0.115292362,0.036692338,0.01795329
9/30/16,0.172762848,0.143708369,0.081532668,0.061440375,0.130384109,0.127116871,0.068513904,0.043767657,0.116078476,0.037288588,0.017406136
10/31/16,0.182150007,0.141327755,0.083142446,0.063540563,0.128929496,0.120776138,0.06744895,0.042929638,0.118206107,0.035225506,0.016323393
11/30/16,0.188229663,0.135570714,0.086027609,0.065614935,0.129649931,0.120992761,0.064422223,0.039826053,0.118584152,0.035139176,0.015942783
12/31/16,0.19013428,0.133171619,0.084066647,0.067264094,0.127977742,0.120539322,0.064474562,0.041745129,0.118631649,0.035640284,0.016354671
1/31/17,0.192326572,0.131503195,0.088272791,0.065345349,0.129325793,0.119345655,0.06315454,0.039974247,0.118988375,0.036055122,0.015708361
2/28/17,0.186552646,0.135971504,0.086550446,0.063003777,0.130206694,0.123483676,0.063206313,0.04070946,0.117460392,0.037058396,0.015796696
3/31/17,0.190776412,0.134147205,0.084430338,0.062083134,0.130482888,0.120968713,0.063597727,0.041964821,0.118606391,0.037594501,0.015347869
4/30/17,0.195921809,0.132899539,0.078763599,0.059488676,0.134587869,0.121177327,0.061723062,0.040470407,0.121907526,0.037532653,0.015527533
5/31/17,0.192068068,0.137088261,0.074562347,0.059090477,0.134726854,0.121876973,0.064049583,0.04303405,0.119685635,0.038128956,0.015688796
6/30/17,0.198292195,0.136665811,0.075611022,0.057337239,0.135580134,0.121391415,0.062201583,0.041967415,0.11737023,0.037900198,0.015682758
7/31/17,0.203150506,0.136840494,0.077928681,0.058420318,0.132552529,0.116288191,0.062985445,0.041774374,0.116206594,0.038409398,0.015443469
8/31/17,0.199360604,0.13706641,0.080148331,0.057448086,0.132997265,0.117060689,0.060915502,0.043497991,0.117323114,0.038496959,0.015685049
9/30/17,0.201336897,0.132370729,0.079670455,0.059960898,0.135117755,0.115793842,0.060656773,0.042052626,0.118567426,0.039304134,0.015168465
10/31/17,0.197232811,0.133427141,0.079801633,0.062155002,0.137225054,0.111872006,0.059013961,0.042506371,0.120606104,0.040646644,0.015513273
11/30/17,0.197967513,0.13392427,0.076999324,0.062732778,0.13666718,0.112331405,0.058697863,0.043054671,0.121363407,0.040393674,0.015867915
12/31/17,0.197268398,0.133832175,0.079818688,0.063983709,0.136287286,0.111617229,0.058714296,0.040814925,0.121538918,0.039538919,0.016585456
1/31/18,0.20292082,0.129189247,0.080988138,0.06366991,0.137439641,0.109860833,0.058045791,0.039397236,0.12310704,0.039334789,0.016046556
2/28/18,0.205013372,0.12720911,0.081719083,0.063620181,0.137259167,0.108600199,0.058774642,0.039631103,0.122516787,0.039895645,0.015760712
3/31/18,0.198280724,0.130400313,0.079066366,0.065590683,0.136062671,0.110032875,0.057310977,0.042321201,0.124544321,0.039447772,0.016942096
4/30/18,0.196695318,0.126265658,0.079446991,0.071352093,0.133903684,0.108296319,0.058088794,0.042677903,0.126420058,0.039903252,0.016949928
5/31/18,0.183632319,0.12859645,0.083118119,0.0742453,0.135745169,0.111901767,0.054455577,0.041796607,0.129368122,0.042368318,0.014772252
6/30/18,0.181237744,0.130182385,0.081309195,0.074407907,0.133890308,0.117094877,0.054264689,0.042326353,0.122462017,0.042960221,0.019864303
7/31/18,0.182911556,0.129575762,0.080383164,0.07291108,0.133683719,0.121151533,0.054124464,0.04208745,0.121162865,0.042485556,0.019522851
8/31/18,0.179798778,0.131880066,0.079761151,0.072854303,0.137749167,0.120331494,0.050720528,0.042879245,0.11969272,0.044876775,0.019455774
9/30/18,0.186381883,0.127807506,0.079844902,0.076789904,0.134830418,0.12055022,0.049976824,0.042500435,0.118652157,0.043644773,0.019020978
10/31/18,0.181977584,0.130468578,0.084789398,0.076607738,0.130055678,0.125090265,0.051439985,0.043505722,0.115175468,0.041718728,0.019170858
11/30/18,0.182065826,0.132828674,0.080601727,0.071750466,0.129879779,0.128603027,0.055071385,0.046629163,0.112341005,0.04096222,0.019266727
12/31/18,0.179270411,0.132568322,0.082578842,0.071316607,0.129578873,0.128391945,0.054877791,0.049317218,0.111790122,0.041189769,0.0191201
1/31/19,0.178666334,0.132453927,0.083330365,0.07164637,0.130647554,0.124636638,0.051304853,0.050248525,0.115378108,0.041655843,0.020031485
2/28/19,0.18018253,0.132203527,0.084242174,0.070774204,0.131987742,0.125464942,0.049903124,0.048182926,0.116108956,0.042013333,0.018936542
3/31/19,0.173374318,0.138907511,0.083403992,0.070959565,0.129965628,0.127276509,0.050181042,0.048481649,0.115723361,0.042503949,0.019222477
4/30/19,0.179737784,0.136183844,0.082328724,0.06861593,0.133885536,0.120751894,0.049134064,0.04689394,0.118370346,0.045315471,0.01878247
5/31/19,0.174067116,0.141651556,0.080781434,0.068398876,0.131055301,0.125631361,0.049656069,0.049006835,0.115306511,0.0447997,0.01964524
6/30/19,0.172007094,0.137070714,0.083305978,0.06752135,0.133731761,0.12746716,0.047696166,0.047780757,0.118687523,0.045944731,0.018786766
7/31/19,0.168896454,0.140404825,0.081164098,0.066342284,0.132600424,0.13035885,0.047711325,0.048322615,0.119681246,0.045654207,0.018863671
8/31/19,0.162506965,0.146947194,0.078404021,0.062690713,0.133026568,0.136845111,0.048460062,0.04861714,0.117744034,0.044910782,0.01984741
9/30/19,0.169662004,0.141481384,0.07849648,0.06411197,0.132577575,0.133354092,0.04927229,0.049091253,0.115899879,0.044930898,0.021122174
10/31/19,0.16985225,0.132625283,0.078179331,0.061416557,0.134305899,0.133329953,0.048684288,0.048065972,0.126876091,0.045228013,0.021436362
11/30/19,0.169339984,0.131015462,0.078817607,0.059616209,0.135781498,0.135571516,0.046837953,0.04661885,0.12785937,0.046797088,0.021744463
12/31/19,0.172810575,0.129592899,0.08063871,0.059020267,0.135177145,0.134716011,0.044804617,0.047087568,0.127641312,0.046717436,0.02179346
1/31/20,0.171031682,0.131654474,0.077797733,0.055281404,0.135982232,0.139052956,0.045129084,0.051566783,0.122786991,0.047370057,0.022346605
2/29/20,0.170157553,0.13168181,0.078307232,0.052516913,0.134420035,0.139516013,0.044683914,0.055053425,0.122299679,0.048023421,0.023340006
3/31/20,0.15134745,0.143325937,0.078634534,0.049990275,0.124371934,0.161381601,0.044270657,0.053168385,0.120288838,0.05244295,0.020777439
4/30/20,0.143863398,0.136520273,0.077933953,0.044877174,0.126616435,0.170933565,0.041707716,0.062743304,0.120030871,0.055118336,0.019654973
5/31/20,0.144706173,0.139018302,0.082221827,0.043158685,0.128372307,0.164196442,0.043562982,0.052359486,0.127255745,0.055432964,0.019715087
6/30/20,0.148639449,0.137023781,0.083086177,0.041557825,0.131785189,0.157911702,0.04320916,0.052368568,0.125681084,0.058334022,0.020403043
7/31/20,0.146606103,0.138001644,0.086591114,0.038738421,0.133357785,0.156811618,0.042215442,0.054206431,0.123135284,0.059683065,0.020653094
8/31/20,0.147756959,0.13475096,0.08783669,0.038998493,0.139014612,0.151942025,0.043134219,0.052990586,0.122409396,0.060759765,0.020406294
9/30/20,0.139118107,0.139175248,0.08759878,0.034600818,0.142255064,0.155313797,0.042838562,0.05277648,0.124869826,0.060701843,0.020751473
10/31/20,0.140859534,0.138132879,0.087091392,0.033616239,0.143969376,0.152618609,0.043441224,0.054628223,0.128932066,0.055928794,0.020781665
